Nome,Empresa,Numero,Email
"Sócio-Diretor","Castelo Alimentos S/A","+5511941876309","contato@casteloalimentos.com.br / sac@casteloalimentos.com.br"
"Sócio-Diretor","ISPL (Crivialli Brasil)","+554432418000","contato@crivialli.com.br / financeiro@crivialli.com.br"
"Sócio-Diretor","Bebidas Poty S.A.","+551740404000","sac@bebidaspoty.com.br / contato@bebidaspoty.com.br"
"Sócio-Diretor","Predilecta Alimentos Ltda.","+551633832130","sac@predilecta.com.br / comercial@predilecta.com.br"
"Sócio-Diretor","Alimentos Zaeli Ltda.","+554436212049","zaeli@zaeli.com.br / financeiro@zaeli.com.br"
"Sócio-Diretor","Vilma Alimentos (Domingos Costa)","+553135073343","sac@vilma.com.br / financeiro@vilma.com.br"
"Sócio-Diretor","Laticínios Porto Alegre S/A","+553138193232","diretoria@laticiniosportoalegre.com.br / contato@laticiniosportoalegre.com.br"
"Sócio-Diretor","Belagrícola Comércio S.A.","+554333712000","contato@belagricola.com.br / financeiro@belagricola.com.br"
"Sócio-Diretor","Alimentos Dallas (Grupo Dallas)","+556734561100","sac@dallasalimentos.com.br / financeiro@dallasalimentos.com.br"
"Sócio-Diretor","Special Dog (Manfrim Industrial)","+551433323000","sac@specialdog.com.br / financeiro@specialdog.com.br"
"Sócio-Diretor","Plasútil Indústria de Plásticos","+551440094922","sac@plasutil.com.br / comercial@plasutil.com.br"
"Sócio-Diretor","Cromex S/A","+551138561000","cromex@cromex.com.br / financeiro@cromex.com.br"
"Sócio-Diretor","Fertipar Fertilizantes do Paraná","+554130269009","fertipar@fertipar.com.br / financeiro@fertipar.com.br"
"Sócio-Diretor","Forno de Minas Alimentos S/A","+553130798100","sac@fornodeminas.com.br / financeiro@fornodeminas.com.br"
"Sócio-Diretor","Fugini Alimentos Ltda.","+551133058000","sac@fugini.com.br / financeiro@fugini.com.br"
"Sócio-Diretor","Sakura Nakaya Alimentos","+551129411177","sac@sakura.com.br / financeiro@sakura.com.br"
"Sócio-Diretor","Alvoar Lácteos (Embaré)","+553732610101","sac@embare.com.br / financeiro@alvoar.com.br"
"Sócio-Diretor","Máquinas Agrícolas Jacto","+551434052100","jacto@jacto.com.br / financeiro@jacto.com.br"
